"Title","Genre","Type","Airing_Start","Airing_End","Members","Normalized_Members","Log_Members","Popularity","Normalized_Popularity","Log_Popularity","Score","Normalized_Score","Ranked","Anime_Rating","Episode_Category","Genre_Count"
"009 Re:Cyborg","['Action', 'Adventure', 'Mecha', 'Sci-Fi']","Movie","Oct 2012","Oct 2012",12241,0.00651,9.41262794141102,3978,0.24677,8.28878581042693,6.62,0.56931,5468,6.52,"Short",4
"07-Ghost","['Action', 'Demons', 'Fantasy', 'Josei', 'Magic', 'Military']","TV","Apr 2009","Sep 2009",164920,0.08812,12.0132218503484,669,0.04145,6.50727771238501,7.32,0.68482,2435,7.23,"Long",6
"1-gatsu ni wa Christmas","['Drama', 'Romance']","OVA","Nov 1991","Nov 1991",629,0.00031,6.44571981938558,10498,0.65134,9.25903529351494,5.85,0.44224,8801,5.43,"Short",2
"100-man-nen Chikyuu no Tabi: Bander Book","['Sci-Fi']","Special","Aug 1978","Aug 1978",893,0.00045,6.79570577517351,9753,0.60511,9.18543273627,6.02,0.4703,8266,5.69,"Short",1
"100%","['Drama']","OVA","Sep 1990","Sep 1990",620,3e-04,6.43133108193348,10511,0.65215,9.26027274072439,5.57,0.39604,9674,5.46,"Short",1
"100% Pascal-sensei","['Comedy']","ONA","Oct 2016","Mar 2017",387,0.00018,5.96100533962327,11587,0.71891,9.35772535888924,5.69,0.41584,9314,5.57,"Short",1
"100% Pascal-sensei (TV)","['Comedy']","TV","Apr 2017","Dec 2017",1881,0.00097,7.54009032014532,8096,0.5023,8.99924890168611,5.68,0.41419,9346,5.68,"Long",1
"1000-nen Joou: Queen Millennia","['Adventure', 'Fantasy', 'Drama', 'Sci-Fi']","Movie","Mar 1982","Mar 1982",3218,0.00169,8.07682603129881,6844,0.42461,8.83127373772255,6.92,0.61881,4083,6.82,"Short",4
"1001 Nights","['Demons', 'Fantasy', 'Romance', 'Seinen']","Movie","Apr 1999","Apr 1999",8230,0.00437,9.01566279297264,4700,0.29157,8.45553053102413,6.34,0.5231,6852,6.29,"Short",4
"11-nin Iru!","['Action', 'Adventure', 'Drama', 'Mystery', 'Romance', 'Sci-Fi', 'Shoujo', 'Space']","Movie","Nov 1986","Nov 1986",7167,0.0038,8.87738195465477,4958,0.30758,8.50895938648913,7.13,0.65347,3245,7.08,"Short",8
"11eyes","['Action', 'Ecchi', 'Super Power', 'Supernatural']","TV","Oct 2009","Dec 2009",186791,0.0998,12.1377509773073,577,0.03574,6.35957386867238,6.29,0.51485,7079,6.14,"Short",4
"11eyes Picture Drama","['Comedy']","Special","Jun 2010","Jun 2010",3983,0.0021,8.29004161870449,6302,0.39098,8.74878098951311,5.65,0.40924,9443,5.47,"Medium",1
"11eyes: Momoiro Genmutan","['Ecchi', 'Comedy', 'Super Power', 'Supernatural']","Special","Jun 2010","Jun 2010",34959,0.01865,10.4619598297695,2352,0.14588,7.76344638872736,6.15,0.49175,7734,6.06,"Short",4
"12-sai.","['Romance', 'School', 'Shoujo']","OVA","Apr 2014","Jan 2015",9611,0.00511,9.17076759685636,4412,0.2737,8.39231000926955,6.37,0.52805,6679,6.28,"Short",3
"12-sai. 2nd Season","['Romance', 'School', 'Shoujo']","OVA","Jul 2015","Dec 2015",3229,0.00169,8.0802374162167,6850,0.42498,8.8321499060029,6.3,0.5165,7036,6.27,"Short",3
"12-sai.: Chicchana Mune no Tokimeki","['Romance', 'School', 'Shoujo']","TV","Apr 2016","Jun 2016",22347,0.01191,10.014492110579,3027,0.18776,8.01565761455734,6.52,0.55281,5962,6.41,"Short",3
"12-sai.: Chicchana Mune no Tokimeki 2nd Season","['Romance', 'School', 'Shoujo']","TV","Oct 2016","Dec 2016",10599,0.00563,9.26860928010016,4239,0.26297,8.352318548226,6.73,0.58746,4936,6.58,"Short",3
"18if","['Mystery', 'Supernatural']","TV","Jul 2017","Sep 2017",40306,0.02151,10.6042804301216,2183,0.13539,7.6889133368648,6.26,0.5099,7226,6.16,"Medium",2
"1989","['Space', 'Music']","Music","Jun 2009","Jun 2009",1015,0.00051,6.92362862813843,9482,0.5883,9.15725600088373,5.68,0.41419,9347,5.61,"Short",2
"21 Emon","['Space', 'Comedy', 'Sci-Fi']","TV","May 1991","Mar 1992",585,0.00028,6.37331978957701,10644,0.6604,9.27284557732758,6.22,0.5033,7420,6.11,"Long",3
"21 Emon Uchuu ike! Hadashi no Princess","['Space', 'Comedy', 'Sci-Fi']","Movie","Mar 1992","Mar 1992",458,0.00021,6.12905021006055,11184,0.69391,9.32232887392423,6.15,0.49175,7735,6.01,"Short",3
"25-sai no Joshikousei","['Ecchi', 'Romance', 'School']","TV","Jan 2018","Mar 2018",22968,0.01224,10.0419007596898,2988,0.18534,8.00269416228394,5.6,0.40099,9589,5.54,"Short",3
"3-gatsu no Lion","['Drama', 'Game', 'Seinen', 'Slice of Life']","TV","Oct 2016","Mar 2017",307034,0.16407,12.6347170265857,316,0.01955,5.75890177387728,8.44,0.86964,123,8.42,"Medium",4
"3-gatsu no Lion","['Drama', 'Game', 'Seinen', 'Slice of Life']","TV","Oct 2016","Mar 2017",307034,0.16407,12.6347170265857,316,0.01955,5.75890177387728,8.44,0.86964,123,8.42,"Medium",4
"3-gatsu no Lion 2nd Season","['Drama', 'Game', 'Seinen', 'Slice of Life']","TV","Oct 2017","Mar 2018",169544,0.09059,12.0408736572929,657,0.0407,6.48920493132532,9.02,0.96535,9,9,"Medium",4
"3-gatsu no Lion 2nd Season","['Drama', 'Game', 'Seinen', 'Slice of Life']","TV","Oct 2017","Mar 2018",169544,0.09059,12.0408736572929,657,0.0407,6.48920493132532,9.02,0.96535,9,9,"Medium",4
"3-gatsu no Lion meets Bump of Chicken","['Music', 'Drama', 'Seinen']","Music","Dec 2014","Dec 2014",8977,0.00477,9.10253241934188,4547,0.28208,8.42244285487043,7.06,0.64191,3533,7.05,"Short",3
"3-gatsu no Lion Recap","['Drama']","Special","Dec 2016","Dec 2016",10279,0.00546,9.23795553900916,4300,0.26675,8.36660283278374,6.74,0.58911,4880,6.71,"Short",1
"3-gatsu no Lion: Ugoku! Nya Shogi","['Game']","Special","Jan 2017","Aug 2017",906,0.00045,6.81014245011514,9789,0.60735,9.18911673552456,6.14,0.4901,7779,6.11,"Short",1
"3-gatsu no Lion: Ugoku! Nya Shogi","['Game']","Special","Jan 2017","Aug 2017",907,0.00045,6.81124437860129,9789,0.60735,9.18911673552456,6.14,0.4901,7779,6.11,"Short",1
"3 Choume no Tama: Onegai! Momo-chan wo Sagashite!!","['Adventure', 'Kids']","Movie","Aug 1993","Aug 1993",463,0.00022,6.13988455222626,11177,0.69347,9.32170283982964,6.13,0.48845,7822,6.05,"Short",2
"3 Choume no Tama: Onegai! Momo-chan wo Sagashite!!","['Adventure', 'Kids']","Movie","Aug 1993","Aug 1993",463,0.00022,6.13988455222626,11177,0.69347,9.32170283982964,6.13,0.48845,7822,6.05,"Short",2
"3 Choume no Tama: Uchi no Tama Shirimasen ka?","['Adventure']","TV","Nov 1988","Sep 1994",1540,0.00079,7.34018683532012,8552,0.53059,9.05403737758078,6.76,0.59241,4772,6.6,"Long",1
"30-sai no Hoken Taiiku","['Ecchi', 'Parody', 'Romance', 'Seinen']","TV","Apr 2011","Jun 2011",48045,0.02565,10.7799141643151,1950,0.12094,7.57609734062311,6.76,0.59241,4773,6.69,"Short",4
"30-sai no Hoken Taiiku Specials","['Ecchi', 'Parody', 'Romance', 'Seinen']","Special","Jul 2011","Sep 2011",4876,0.00258,8.49228555571005,5813,0.36064,8.66802408111882,6.29,0.51485,7080,6.18,"Short",4
"30th Gundam Perfect Mission","['Mecha', 'Sci-Fi']","OVA","Aug 2009","Aug 2009",5403,0.00286,8.59489469908009,5571,0.34562,8.6255093348997,6.97,0.62706,3895,6.86,"Short",2
"3D Kanojo: Real Girl","['Romance', 'School', 'Shoujo']","TV","Apr 2018","Jun 2018",139055,0.07429,11.8426320086772,804,0.04983,6.69084227741856,6.8,0.59901,4577,6.79,"Short",3
"3D Kanojo: Real Girl 2nd Season","['Romance', 'School', 'Shoujo']","TV","Jan 2019","Mar 2019",61971,0.03309,11.0344379491162,1638,0.10158,7.40184157874383,7.7,0.74752,1147,7.66,"Short",3
"3x3 Eyes","['Action', 'Demons', 'Fantasy', 'Horror', 'Romance']","OVA","Jul 1991","Mar 1992",20773,0.01107,9.94145748378776,3126,0.19391,8.04782935745784,6.87,0.61056,4271,6.77,"Short",5
"3x3 Eyes: Seima Densetsu","['Action', 'Adventure', 'Horror', 'Demons', 'Romance', 'Fantasy']","OVA","Jul 1995","Jun 1996",11393,0.00606,9.34084218004034,4114,0.25521,8.32239411311117,7.05,0.64026,3579,6.96,"Short",6
"4-Day Weekend","['Music']","Music","Dec 1998","Dec 1998",2544,0.00133,7.84188592898462,7376,0.45762,8.9061223308843,5.74,0.42409,9165,5.63,"Short",1
"47 Todoufuken","['Kids', 'Comedy']","TV","Apr 2011","Sep 2011",297,0.00013,5.6970934865054,12176,0.75546,9.40730420550701,5.79,0.43234,9000,5.55,"Long",2
"5-toubun no Hanayome","['Harem', 'Comedy', 'Romance', 'School', 'Shounen']","TV","Jan 2019","Mar 2019",213564,0.11411,12.2716965149641,514,0.03183,6.24416690066374,7.64,0.73762,1297,7.63,"Short",5
"6♥Princess","['Magic', 'Music']","Music","Oct 2013","Oct 2013",3374,0.00177,8.12415060330663,6742,0.41828,8.81626020873458,5.6,0.40099,9590,5.53,"Short",2
"7-kakan.","['Music']","Music","Jul 2015","Jul 2015",544,0.00026,6.30078579466324,10803,0.67027,9.28767171491251,5.71,0.41914,9264,5.61,"Short",1
"7 Seeds","['Sci-Fi', 'Adventure', 'Mystery', 'Psychological', 'Drama', 'Romance', 'Shoujo']","ONA","Jun 2019","Jun 2019",30419,0.01623,10.3228555658133,2580,0.16003,7.85593219971861,6.49,0.54785,6100,6.55,"Short",7
"8-gatsu no Symphony: Shibuya 2002-2003","['Music']","Movie","Aug 2009","Aug 2009",1138,0.00058,7.03790596344718,9259,0.57446,9.13345932764022,6.73,0.58746,4937,6.62,"Short",1
"91 Days","['Action', 'Drama', 'Historical']","TV","Jul 2016","Oct 2016",340857,0.18215,12.7392212472504,281,0.01737,5.64190707093811,7.87,0.77558,755,7.83,"Short",3
"91 Days","['Action', 'Drama', 'Historical']","TV","Jul 2016","Oct 2016",340857,0.18215,12.7392212472504,281,0.01737,5.64190707093811,7.87,0.77558,755,7.83,"Short",3
"91 Daze","['Comedy', 'Historical']","Special","Nov 2016","Jul 2017",2005,0.00104,7.60389796852188,7982,0.49522,8.9850695596458,5.64,0.40759,9468,5.6,"Short",2
"A-Channel","['Comedy', 'School', 'Seinen', 'Slice of Life']","TV","Apr 2011","Jun 2011",80476,0.04298,11.2957267082968,1351,0.08377,7.20934025660291,7,0.63201,3787,6.96,"Short",4
"A-Channel: +A-Channel","['Comedy', 'School', 'Slice of Life', 'Seinen']","Special","May 2011","Oct 2011",16395,0.00873,9.70479268162423,3526,0.21873,8.16820293023605,7,0.63201,3788,6.97,"Short",4
"A-Channel: Nabe wo Tabeyou","['Comedy', 'School', 'Seinen', 'Slice of Life']","Special","Sep 2017","Sep 2017",5637,0.00298,8.63728467167406,5491,0.34066,8.61104776688786,6.95,0.62376,3982,6.87,"Short",4
"A-Channel+smile","['Comedy', 'School', 'Seinen', 'Slice of Life']","OVA","Mar 2012","Mar 2012",18603,0.00991,9.83113189034399,3312,0.20545,8.1056094022999,7.16,0.65842,3117,7.12,"Short",4
"A-Girl","['Music', 'Romance', 'School', 'Shoujo']","OVA","Sep 1993","Sep 1993",1540,0.00079,7.34018683532012,8570,0.53171,9.05613969089888,5.6,0.40099,9561,5.55,"Short",4
"A-jang.com","['Fantasy']","TV","Nov 2001","Dec 2001",450,0.00021,6.11146733950268,11217,0.69595,9.32527491006828,5.86,0.44389,8766,5.65,"Medium",1
"A Christmas Song","['Music']","Music","Nov 2012","Nov 2012",163,6e-05,5.0998664278242,14055,0.87205,9.55080462986693,5.73,0.42244,9209,5.65,"Short",1
"A New Journey","['Action', 'Game']","ONA","Jan 2019","Jan 2019",1169,0.00059,7.0647590277918,9212,0.57154,9.12837080910893,6.52,0.55281,5963,6.19,"Short",2
"A.D. Police (TV)","['Action', 'Sci-Fi', 'Mecha', 'Shounen']","TV","Apr 1999","Jul 1999",8103,0.0043,9.00011304592852,4737,0.29387,8.46337038471873,6.06,0.4769,8136,6,"Short",4
"A.D. Police (TV)","['Action', 'Sci-Fi', 'Mecha', 'Shounen']","TV","Apr 1999","Jul 1999",8103,0.0043,9.00011304592852,4737,0.29387,8.46337038471873,6.06,0.4769,8136,6,"Short",4
"A.I.C.O.: Incarnation","['Action', 'Sci-Fi']","ONA","Mar 2018","Mar 2018",57451,0.03068,10.9587050955517,1725,0.10697,7.45356187164337,6.78,0.59571,4669,6.6,"Short",2
"Aa Harimanada","['Sports', 'Martial Arts', 'Seinen']","TV","Apr 1992","Oct 1992",1125,0.00057,7.02642680869964,9276,0.57552,9.13529349765327,6.21,0.50165,7468,6.11,"Medium",3
"Aa! Megami-sama!","['Comedy', 'Magic', 'Romance', 'Seinen', 'Supernatural']","OVA","Feb 1993","May 1994",42891,0.02289,10.66644060734,2083,0.12919,7.64204440287326,7.36,0.69142,2263,7.32,"Short",5
"Aa! Megami-sama! (2011)","['Comedy', 'Magic', 'Romance', 'Seinen', 'Supernatural']","OVA","Feb 2011","Aug 2013",17309,0.00922,9.75903964817025,3435,0.21308,8.14206328310415,7.4,0.69802,2088,7.35,"Short",5
"Aa! Megami-sama! (TV)","['Comedy', 'Supernatural', 'Magic', 'Romance', 'Seinen']","TV","Jan 2005","Jul 2005",124216,0.06636,11.7297853151213,902,0.05591,6.80572255341699,7.4,0.69802,2089,7.35,"Medium",5
"Aa! Megami-sama! (TV) Specials","['Magic', 'Comedy', 'Romance', 'Supernatural', 'Seinen']","Special","Apr 2005","Dec 2005",23069,0.0123,10.0462883511678,2971,0.18429,7.99699040583765,7.57,0.72607,1503,7.53,"Short",5
"Aa! Megami-sama! Movie","['Comedy', 'Magic', 'Romance', 'Seinen', 'Supernatural']","Movie","Oct 2000","Oct 2000",35455,0.01892,10.476047770107,2329,0.14445,7.75362354655975,7.61,0.73267,1377,7.57,"Short",5
"Aa! Megami-sama!: Chichaitte Koto wa Benri da ne","['Comedy', 'Magic', 'Supernatural']","TV","Apr 1998","Mar 1999",18890,0.01007,9.84644089715685,3280,0.20346,8.0959035329611,6.98,0.62871,3869,6.91,"Long",3
"Aa! Megami-sama!: Sorezore no Tsubasa","['Comedy', 'Magic', 'Romance', 'Seinen', 'Supernatural']","TV","Apr 2006","Sep 2006",53138,0.02837,10.8806664009207,1819,0.11281,7.50659178007084,7.63,0.73597,1319,7.58,"Medium",5
"Aa! Megami-sama!: Sorezore no Tsubasa Specials","['Comedy', 'Magic', 'Romance', 'Seinen', 'Supernatural']","Special","Feb 2007","Feb 2007",21092,0.01124,9.95669651086727,3106,0.19267,8.04141290939305,7.58,0.72772,1464,7.53,"Short",5
"Aa! Megami-sama!: Tatakau Tsubasa","['Comedy', 'Magic', 'Romance', 'Seinen', 'Supernatural']","Special","Dec 2007","Dec 2007",22575,0.01203,10.0246426740926,3007,0.18652,8.00903068506973,7.65,0.73927,1264,7.59,"Short",5
"Aachi wa Ssipak","['Action', 'Comedy']","Movie","Jun 2006","Jun 2006",7763,0.00412,8.9572529442889,4811,0.29846,8.47886807709457,6.73,0.58746,4938,6.66,"Short",2
"Ab-rah","['Music']","Music","Nov 2013","Nov 2013",95,2e-05,4.56434819146784,15403,0.9557,9.6423824949348,5.63,0.40594,9503,5.72,"Short",1
"Abarenbou Rikishi!! Matsutarou","['Sports', 'Seinen']","TV","Apr 2014","Sep 2014",7349,0.0039,8.90245559220688,4915,0.30491,8.50025047068593,6.14,0.4901,7780,6.1,"Medium",2
"Abarenbou Rikishi!! Matsutarou","['Sports', 'Seinen']","TV","Apr 2014","Sep 2014",7349,0.0039,8.90245559220688,4915,0.30491,8.50025047068593,6.14,0.4901,7780,6.1,"Medium",2
"Abenobashi Mahou☆Shoutengai","['Comedy', 'Parody', 'Ecchi', 'Fantasy']","TV","Apr 2002","Jun 2002",65371,0.03491,11.0878493112129,1571,0.09742,7.36010397298915,7.31,0.68317,2490,7.25,"Medium",4
"Absolute Duo","['Action', 'Harem', 'Supernatural', 'Romance', 'Ecchi', 'School']","TV","Jan 2015","Mar 2015",338166,0.18071,12.7312951352867,285,0.01762,5.65599181081985,6.68,0.57921,5167,6.5,"Short",6
"ACCA: 13-ku Kansatsu-ka","['Police', 'Fantasy', 'Mystery', 'Drama', 'Seinen']","TV","Jan 2017","Mar 2017",100022,0.05343,11.5131554385243,1098,0.06807,7.00215595440362,7.71,0.74917,1114,7.68,"Short",5
"ACCA: 13-ku Kansatsu-ka Specials","['Slice of Life', 'Seinen']","Special","Apr 2017","Aug 2017",6078,0.00322,8.71259548774872,5330,0.33067,8.58129411682276,6.8,0.59901,4578,6.78,"Short",2
"Accel World","['Action', 'Game', 'Sci-Fi', 'Romance', 'School']","TV","Apr 2012","Sep 2012",515275,0.27537,13.1524579584209,124,0.00763,4.8283137373023,7.45,0.70627,1883,7.3,"Medium",5
"Accel World EX","['Action', 'Game', 'Sci-Fi', 'Romance', 'School']","OVA","Sep 2012","Jan 2013",89124,0.0476,11.3977951577166,1212,0.07514,7.10085190894405,7.22,0.66832,2854,7.14,"Short",5
"Accel World: Acchel World.","['Sci-Fi', 'Comedy']","Special","Jul 2012","Feb 2013",34539,0.01843,10.4498733517007,2366,0.14675,7.76937860951398,6.29,0.51485,7081,6.22,"Short",2
"Accel World: Infinite∞Burst","['Action', 'Game', 'Sci-Fi', 'Romance', 'School']","Movie","Jul 2016","Jul 2016",49314,0.02633,10.8059835733881,1917,0.11889,7.55903825544338,6.75,0.59076,4825,6.66,"Short",5
"Acchi Kocchi","['Dementia']","Movie","Jan 1962","Jan 1962",6197,0.00328,8.73198193834769,5281,0.32762,8.57206009285708,7.32,0.68482,2436,7.1,"Short",1
"Acchi Kocchi (TV)","['Slice of Life', 'Comedy', 'Romance', 'School']","TV","Apr 2012","Jun 2012",212672,0.11364,12.2675110537796,504,0.03121,6.22455842927536,7.58,0.72772,1465,7.5,"Short",4
"Acchi Kocchi (TV): Place=Princess","['Slice of Life', 'Comedy', 'Romance', 'School']","Special","Nov 2012","Nov 2012",42788,0.02284,10.6640363391915,2091,0.12968,7.64587582518481,7.56,0.72442,1528,7.49,"Short",4
"Ace wo Nerae!","['Sports', 'Drama', 'Romance', 'School', 'Shoujo']","TV","Oct 1973","Mar 1974",7342,0.00389,8.90150275745161,4913,0.30479,8.49984355308112,7.06,0.64191,3534,7.01,"Long",5
"Ace wo Nerae! (1979)","['Sports', 'Drama', 'Romance', 'School', 'Shoujo']","Movie","Sep 1979","Sep 1979",2534,0.00132,7.83794891602528,7383,0.45805,8.90707077618269,6.88,0.61221,4232,6.81,"Short",5
"Ace wo Nerae! 2","['Drama', 'Shoujo', 'Sports']","OVA","Jul 1988","Oct 1988",1602,0.00083,7.37963215260955,8459,0.52482,9.04310445260027,6.79,0.59736,4625,6.86,"Medium",3
"Ace wo Nerae!: Final Stage","['Action', 'Drama', 'Sports']","OVA","Oct 1989","Apr 1990",1240,0.00063,7.12367278520461,9071,0.56279,9.11294802596753,6.57,0.56106,5689,6.52,"Short",3
"Action Heroine Cheer Fruits","['Comedy', 'School', 'Slice of Life']","TV","Jul 2017","Sep 2017",10332,0.00549,9.24309793621435,4286,0.26588,8.36334246659798,6.56,0.55941,5742,6.54,"Short",3
"Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari","['Comedy', 'Mecha', 'Police', 'Sci-Fi']","TV","Jan 2016","Mar 2016",50040,0.02671,10.820597948394,1895,0.11752,7.54750168281497,5.91,0.45215,8610,5.88,"Short",4
"Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari 2nd","['Sci-Fi', 'Comedy', 'Police', 'Mecha']","TV","Jul 2016","Sep 2016",16561,0.00882,9.71486619359364,3506,0.21749,8.16251625014018,6.44,0.5396,6327,6.37,"Short",4
"Actors: Songs Connection","['Music', 'School']","TV","Oct 2019","Dec 2019",7064,0.00374,8.86290829511863,5000,0.31019,8.5173931714189,6.19,0.49835,7554,6.25,"Short",2
"AD Police","['Sci-Fi', 'Adventure', 'Mystery', 'Dementia', 'Police', 'Psychological', 'Thriller', 'Mecha']","OVA","May 1990","Nov 1990",10538,0.0056,9.26283794093394,4240,0.26303,8.35255436947459,6.35,0.52475,6801,6.27,"Short",8
"Adachi-ga Hara","['Sci-Fi']","Movie","Nov 1991","Nov 1991",978,0.00049,6.88653164253051,9563,0.59332,9.16576132857822,6.08,0.4802,8061,6,"Short",1
"Adachi-ga Hara","['Sci-Fi']","Movie","Nov 1991","Nov 1991",978,0.00049,6.88653164253051,9563,0.59332,9.16576132857822,6.08,0.4802,8061,6,"Short",1
"Additional Memory","['Music']","Music","Sep 2018","Sep 2018",3391,0.00178,8.12917499691179,6729,0.41747,8.81433042263877,7.42,0.70132,2003,7.25,"Short",1
"Aesop's World","['Kids']","TV","Apr 1999","Dec 1999",428,2e-04,6.06145691892802,11325,0.70266,9.33485624667375,5.93,0.45545,8545,5.8,"Long",1
"Afraid To Be Cool / Raise Me Up","['Music']","Music","Apr 2016","May 2016",143,5e-05,4.969813299576,14453,0.89675,9.57872647184293,6,0.467,8338,6.07,"Short",1
"Africa no Salaryman","['Comedy']","ONA","Jun 2017","Jun 2017",1031,0.00052,6.93925394604151,9550,0.59252,9.16440114003474,5.9,0.4505,8645,5.87,"Short",1
"Africa no Salaryman (TV)","['Slice of Life', 'Comedy']","TV","Oct 2019","Dec 2019",12933,0.00688,9.46761478200654,3892,0.24144,8.26693534761046,6.55,0.55776,5785,6.53,"Short",2
"Afro Samurai","['Action', 'Adventure', 'Samurai']","TV","May 2007","May 2007",217963,0.11647,12.2920851905198,487,0.03016,6.19031540585315,7.4,0.69802,2090,7.36,"Short",3
